deviceID,tripID,speed_mean,speed_max,speed_std,rpm_mean,rpm_max,rpm_std,acceleration_mean,acceleration_max,acceleration_std,kpl_mean,kpl_min,cluster
1,0,-0.094016936711181,89.0,31.508224345855496,1.1342190494554787,3829.0,908.2892440815556,-0.0195883816860955,6.0,1.547410488515545,0.0,0.0,1
1,1,1.3068366627970514,157.0,,7.194328885782454,5508.5,,-0.011292887219116,0.0,,3.5400582176444244,3.5400582176444244,1
1,10,1.3068366627970514,157.0,0.0,7.194328885782454,5508.5,0.0,-0.011292887219116,0.0,0.0,3.540058217644424,3.5400582176444244,1
1,11,-0.6141239346112295,0.0,0.0,-1.154931533159686,0.0,0.0,-0.0112939867624229,0.0,1.2926446477859576e-05,0.0,0.0,1
1,12,-0.520726911934691,59.0,13.100277742052045,-0.3325439443675492,4010.5,793.6987292232968,-0.0299466592767027,7.0,1.4596948704348771,0.0,0.0,1
1,13,-0.4477138043585159,50.0,14.837384266539766,0.3267938403600536,2910.0,778.3943170315146,0.0140636241986374,8.0,2.133566074774344,0.0,0.0,1
1,14,-0.3392695913745222,59.0,14.38910523848518,0.9024171362292712,3287.5,510.4824116880804,-0.0034575998525899,12.0,2.245371697196722,0.0,0.0,1
1,15,-0.477792624958218,55.0,15.091458346589604,-0.0776042341606798,3776.0,748.6228425887876,-0.020186345463596,10.0,1.525487940565012,0.0,0.0,1
1,16,-0.6094303004601873,11.0,1.5970744002662367,-0.909165924704234,1760.0,397.18822610754944,-0.011292887219116,7.0,0.6110360395403225,0.0,0.0,1
1,17,-0.4928641587416503,46.0,13.974857590472576,-0.1781858105530366,3250.0,718.6824219525162,0.0118865648278373,7.0,1.9587647398408203,0.0,0.0,1
1,18,-0.6141239346112295,0.0,0.0,-1.154931533159686,0.0,0.0,-0.011292887219116,0.0,0.0,0.0,0.0,1
1,19,-0.4522632320966648,59.0,17.324127800130324,-0.0987730484049305,4192.5,790.9430599043917,-0.0186386994704332,20.0,1.9892567805573595,0.0,0.0,1
1,2,1.3068366627970514,157.0,0.0,7.194328885782454,5508.5,0.0,-0.011292887219116,0.0,0.0,3.540058217644424,3.5400582176444244,1
1,20,-0.6139990834090061,2.0,0.1426135669888192,-1.0866887246333845,1224.0,212.7777938399383,-0.011292887219116,2.0,0.1167416810835558,0.0,0.0,1
1,21,-0.6125887791921313,7.0,0.7803804731344406,-0.9315963905102652,1570.5,331.1583677964274,-0.011292887219116,3.0,0.4938647983247948,0.0,0.0,1
1,22,-0.6055613546916593,15.0,2.154440132860783,-0.4914885881837921,2177.0,474.8846881084182,-0.011292887219116,7.0,1.302172098423647,0.0,0.0,1
1,23,-0.6141239346112295,0.0,0.0,-1.154931533159686,0.0,0.0,-0.011292887219116,0.0,0.0,0.0,0.0,1
1,24,-0.4738649007654039,63.0,16.2256841177691,0.0853424199689791,3257.0,789.4651127139078,-0.0115719322908401,8.0,1.5233227389394577,0.0,0.0,1
1,25,-0.6049806196657975,11.0,2.15065878165716,-0.8181361390270421,1774.0,420.2294307005454,-0.0291056406667729,9.0,1.5109971045693835,0.0,0.0,1
1,26,-0.6007945264943313,17.0,3.0190442512323328,-0.519865447244786,2491.5,639.909685480371,-0.011292887219116,6.0,1.5280398098143118,0.0,0.0,1
1,27,-0.4809078005355302,74.0,17.816600536439385,-0.1855090478891796,3472.5,861.1882139647569,-0.011830155833859,12.0,1.3260643197410085,0.0,0.0,1
1,28,-0.3486030960612281,72.0,19.12053051491068,0.5286053238072538,2953.5,669.5137179029648,-0.0152420518648737,8.0,1.7991167582593102,0.0,0.0,1
1,29,-0.4304437092492057,54.0,16.14490362693543,0.0394396806705873,3093.0,644.3466749621501,-0.0133428331592791,9.0,1.1905251930886578,0.0,0.0,1
1,3,1.722840868605214,191.0,0.0,17.37986578608039,12228.5,0.0,-0.0111985392825662,0.0037130064431582,0.0005662281742173,1.4616144936659194,1.1796438647422005,1
1,30,-0.4883115075102558,61.0,14.89417309160092,-0.217896457660747,2927.5,706.4049119456192,-0.0179068163617141,8.0,1.532520009026462,0.0,0.0,1
1,31,-0.6120638897745444,16.0,1.3616377256199432,-1.0984122380117032,2363.0,226.494165643237,-0.0335914074540519,3.0,0.4809047150168183,0.0,0.0,1
1,32,-0.4218037180148005,57.0,14.17118505285233,0.9105748958966136,3521.5,435.1164710541258,-0.0043898091266407,10.0,1.821319579576312,0.0,0.0,1
1,33,-0.5263408962885039,60.0,14.564548820051602,-0.4382203318995996,2986.0,761.7913527931955,-0.0453759902286938,8.0,1.2345603297435837,0.0,0.0,1
1,34,-0.5650287562526668,34.0,8.348165433923908,-0.6459287454875862,3289.5,581.6115587902248,-0.0153017119388949,5.0,0.9267813206184544,0.0,0.0,1
1,35,-0.4981815170004654,53.0,13.302493079093432,-0.2050749908198412,3735.0,704.1256289362722,-0.0038207829805901,16.0,2.065827392692272,0.0,0.0,1
1,36,-0.6065585235940626,11.0,1.9396165803011736,-0.7044200710925957,1998.5,511.1522257918096,-0.0307542249475511,5.0,0.9460920192072592,0.0,0.0,1
1,37,-0.5075041715628718,54.0,14.280054518326008,-0.1903444816556505,2928.0,859.9527073082132,-0.0149184425641937,5.0,1.494787322923773,0.0,0.0,1
1,38,-0.4084465610925466,60.0,17.221489394639974,1.406336913992317,4290.0,737.7426412011608,0.0651915717664349,9.0,3.913857793569259,0.0,0.0,1
1,39,-0.5687705021766462,69.0,9.833198181875058,-0.404222382251006,5305.0,875.8429884004371,-0.0148398727368641,9.0,1.8725653097361423,0.0,0.0,1
1,4,1.3068366627970514,157.0,0.0,7.194328885782454,5508.5,0.0,-0.0118619680151395,0.0,0.0020171788261496,3.5400582176444235,3.5400582176444244,1
